handle,tweet,if_tsunami,datetime,day,month,year,time
BNPB_Indonesia,"PANDEGLANG MASUK TRANSISI DARURAT, LAMPUNG SELATAN MEMPERPANJANG MASA TANGGAP DARURAT  Pascatsunami yang menerjang lima kabupaten di sekitar Selat Sunda masih menyisakan banyak pekerjaan. Hingga Sabtu (5/1/2019)... https://www.facebook.com/265134686905181/posts/2057629264322372/ …",True,2019-01-05 06:28:00,5,Jan,2019,6:28 AM
BNPB_Indonesia,"My week on Twitter : 845 Mentions, 28.4M Mention Reach, 440 Likes, 312 Retweets, 21 Replies. See yours with https://sumall.com/performancetweet?utm_source=twitter&utm_medium=publishing&utm_campaign=performance_tweet&utm_content=text_and_media&utm_term=a1dc8537af760bb708e71bff …",False,2019-01-05 05:02:00,5,Jan,2019,5:02 AM
BNPB_Indonesia,"Our biggest fans this week: @Demokrat_TV, @infobencana, @Rockslashjeffry. Thank you! via https://sumall.com/thankyou?utm_source=twitter&utm_medium=publishing&utm_campaign=thank_you_tweet&utm_content=text_and_media&utm_term=a1dc8537af760bb708e71bff …pic.twitter.com/YWZIe5Vuhc",False,2019-01-04 18:02:00,4,Jan,2019,6:02 PM
BPBDJakarta,"Info #Cuaca :  INFO PRAKIRAAN CUACA DKI JAKARTA 3 HARI KE DEPAN  Berlalu mulai : Jumat, 04 Januari 2019 s/d Minggu, 06 Januari 2019   Sumber : Prakirawan – #BMKGpic.twitter.com/w5jQMT0c0o",False,2019-01-03 17:57:00,3,Jan,2019,5:57 PM
BNPB_Indonesia,Gempabumi di Ambon. #gempapic.twitter.com/4ggySqZPg5,False,2019-01-02 20:44:00,2,Jan,2019,8:44 PM
BNPB_Indonesia,*Presiden Jokowi Tinjau Penanganan Bencana di Lampung Selatan*  Presiden Joko Widodo menginstruksikan jajaran terkait untuk melakukan penanganan cepat bagi para korban bencana tsunami di Selat Sunda yang ada di... https://www.facebook.com/265134686905181/posts/2053028238115808/ …,True,2019-01-02 03:48:00,2,Jan,2019,3:48 AM
BNPB_Indonesia,Konpres Penanganan Bencana Longsor Sukabumi: http://youtu.be/1RoMvDZ0xTg?a  via @YouTube,False,2019-01-01 23:45:00,1,Jan,2019,11:45 PM
BNPB_Indonesia,"EVAKUASI KORBAN LONGSOR SUKABUMI DILANJUTKAN BESOK PAGI, 15 TEWAS DAN 20 MASIH DICARI   Upaya pencarian korban longsor yang menimbun 30 rumah di Kampung Cimapag Desa Sirnaresmi Kecamatan Cisolok Kabupaten... https://www.facebook.com/265134686905181/posts/2052201114865187/ …",False,2019-01-01 13:31:00,1,Jan,2019,1:31 PM
BNPB_Indonesia,"Korban Longsor Sukabumi Bertambah: 5 Meninggal, 38 Masih Dicari  Evakuasi, pencarian dan penyelamatan korban longsor yang menimbun 30 unit rumah terus dilakukan oleh Tim SAR gabungan di Dusun Garehong Desa... https://www.facebook.com/265134686905181/posts/2051133591638606/ …",False,2018-12-31 21:20:00,31,Dec,2018,9:20 PM
BNPB_Indonesia,KonPers Update Penanganan Tsunami Selat Sunda H+9: http://youtu.be/ioxy0dkJbkg?a  via @YouTube,True,2018-12-31 00:24:00,31,Dec,2018,12:24 AM
BNPB_Indonesia,"Mao akhirnya berhasil selamat ditolong oleh penyu hijau kecil, Gugu segera ikut menolong Mao. Setelah sadar, Mao menyesal karena tidak mendengarkan dan mempercayai peringatan tsunami. Dia beruntung karena masih ada... https://www.facebook.com/HumasBNPB/videos/1867155206723385/ …",True,2018-12-30 20:09:00,30,Dec,2018,8:09 PM
BNPB_Indonesia,"Dongeng Tsunami : Mao, Gugu dan Penyu Hijau Kecil: http://youtu.be/LOy3f9faUS4?a  via @YouTube",True,2018-12-30 19:04:00,30,Dec,2018,7:04 PM
BNPB_Indonesia,"I liked a @YouTube video http://youtu.be/ottZNP_T9ig?a  Dongeng Banjir : Kodok, Ikan dan Kakek Tua",False,2018-12-30 18:32:00,30,Dec,2018,6:32 PM
BNPB_Indonesia,"VOLUME TUBUH GUNUNG ANAK KRAKATAU BERKURANG, JUMLAH KORBAN TSUNAMI BERTAMBAH  PVMBG Badan Geologi Kementerian ESDM menyatakan bahwa tubuh Gunung Anak Krakatau telah berubah akibat erupsi yang menerus.... https://www.facebook.com/265134686905181/posts/2046996085385690/ …",False,2018-12-29 07:17:00,29,Dec,2018,7:17 AM
BNPB_Indonesia,"My week on Twitter : 2.21K Mentions, 32.7M Mention Reach, 3.37K Likes, 2.3K Retweets, 145 Replies. See yours with https://sumall.com/performancetweet?utm_source=twitter&utm_medium=publishing&utm_campaign=performance_tweet&utm_content=text_and_media&utm_term=a1dc8537af760bb708e71bff …pic.twitter.com/ElgbgWHXAx",False,2018-12-29 05:02:00,29,Dec,2018,5:02 AM
BNPB_Indonesia,"Distribusi logistik via heli. Di kec Sumur,Banten.  #tsunamiselatsunda #SiapUntukSelamat #BudayaSadarBencana https://www.facebook.com/HumasBNPB/videos/537913706682830/ …",True,2018-12-29 00:00:00,29,Dec,2018,12:00 AM
BNPB_Indonesia,"Our biggest fans this week: @ganjarpranowo, @SAR_NASIONAL, @maspiyuuu. Thank you! via https://sumall.com/thankyou?utm_source=twitter&utm_medium=publishing&utm_campaign=thank_you_tweet&utm_content=text_and_media&utm_term=a1dc8537af760bb708e71bff …pic.twitter.com/d73egrzQfI",False,2018-12-28 18:02:00,28,Dec,2018,6:02 PM
BNPB_Indonesia,Konpres Update Penanganan Bencana Tsunami Selat Sunda H+6.: http://youtu.be/1RIlooaZ0Sw?a  via @YouTube,True,2018-12-28 00:25:00,28,Dec,2018,12:25 AM
BNPB_Indonesia,"STATUS GUNUNG ANAK KRAKATAU DINAIKKAN SIAGA (LEVEL III), RADIUS BERBAHAYA DIPERLUAS MENJADI 5 KM   Aktivitas vulkanik Gunung Anak Krakatau yang terletak di Selat... https://bnpb.go.id/status-gunung-anak-krakatau-dinaikkan-siaga-level-iii-radius-berbahaya-diperluas-menjadi-5-km …",False,2018-12-26 19:19:00,26,Dec,2018,7:19 PM
